 Max dif between elements (Analytical and Numerical)   1.6875389974302379E-014

 Max dif between elements (Real and K-space)   1.3322676295501878E-015

     Analytical                Real Space                K-Space
   0.0000000000000000       -5.6674341584955317E-015  -5.5650142182981081E-018
   0.0000000000000000       -5.0802774523843655E-015  -1.4997597826618576E-032
   0.0000000000000000       -3.1252479529294362E-015  -1.3243212150916510E-032
   0.0000000000000000       -1.1128873169758995E-015  -8.8009516792962055E-033
   0.0000000000000000       -8.9897322161983861E-016  -3.7493994566546440E-033
   0.0000000000000000       -6.6882611940960454E-016   3.7493994566546440E-033
   0.0000000000000000       -2.6534150520082758E-017   8.8009516792962151E-033
   0.0000000000000000        1.4439281143565309E-016   1.3243212150916507E-032
   0.0000000000000000        2.2291086678203151E-016   5.5650142182981081E-018
   0.0000000000000000        1.0107042921545159E-015   5.7912163490251393E-017
   0.0000000000000000        1.7354196393315512E-015   2.2204460492503131E-016
   0.0000000000000000        3.0740763900563924E-015   4.3021142204224816E-016
   0.0000000000000000        4.4090612506488386E-015   4.8572257327350599E-016
  0.23284560081413386       0.23284560081413239       0.23284560081413355     
  0.23284560081413386       0.23284560081413272       0.23284560081413375     
  0.23284560081413386       0.23284560081413305       0.23284560081413397     
  0.23284560081413386       0.23284560081413605       0.23284560081413405     
  0.34729635533386061       0.34729635533385739       0.34729635533386005     
  0.34729635533386061       0.34729635533385900       0.34729635533386005     
  0.46791111376204353       0.46791111376204114       0.46791111376204370     
  0.46791111376204353       0.46791111376204414       0.46791111376204381     
  0.65270364466613939       0.65270364466613440       0.65270364466613895     
  0.65270364466613939       0.65270364466613751       0.65270364466613928     
  0.65270364466613939       0.65270364466613784       0.65270364466613928     
  0.65270364466613939       0.65270364466614639       0.65270364466613939     
   1.3472963553338606        1.3472963553338559        1.3472963553338604     
   1.3472963553338606        1.3472963553338566        1.3472963553338606     
   1.3472963553338606        1.3472963553338573        1.3472963553338611     
   1.3472963553338606        1.3472963553338630        1.3472963553338611     
   1.5320888862379565        1.5320888862379545        1.5320888862379560     
   1.5320888862379565        1.5320888862379556        1.5320888862379560     
   1.6527036446661394        1.6527036446661356        1.6527036446661396     
   1.6527036446661394        1.6527036446661407        1.6527036446661396     
   1.7671543991858663        1.7671543991858636        1.7671543991858660     
   1.7671543991858663        1.7671543991858640        1.7671543991858660     
   1.7671543991858663        1.7671543991858651        1.7671543991858665     
   1.7671543991858663        1.7671543991858658        1.7671543991858665     
   2.0000000000000000        1.9999999999999916        1.9999999999999996     
   2.0000000000000000        1.9999999999999958        1.9999999999999996     
   2.0000000000000000        1.9999999999999964        1.9999999999999996     
   2.0000000000000000        1.9999999999999978        1.9999999999999996     
   2.0000000000000000        1.9999999999999978        1.9999999999999996     
   2.0000000000000000        1.9999999999999987        1.9999999999999998     
   2.0000000000000000        1.9999999999999991        1.9999999999999998     
   2.0000000000000000        2.0000000000000000        1.9999999999999998     
   2.0000000000000000        2.0000000000000004        1.9999999999999998     
   2.0000000000000000        2.0000000000000009        1.9999999999999998     
   2.0000000000000000        2.0000000000000018        1.9999999999999998     
   2.0000000000000000        2.0000000000000022        2.0000000000000000     
   2.0000000000000000        2.0000000000000022        2.0000000000000000     
   2.0000000000000000        2.0000000000000031        2.0000000000000000     
   2.0000000000000000        2.0000000000000040        2.0000000000000000     
   2.0000000000000000        2.0000000000000049        2.0000000000000000     
   2.0000000000000000        2.0000000000000084        2.0000000000000000     
   2.2115738168853118        2.2115738168853052        2.2115738168853114     
   2.2115738168853118        2.2115738168853110        2.2115738168853118     
   2.2115738168853118        2.2115738168853150        2.2115738168853118     
   2.2115738168853118        2.2115738168853158        2.2115738168853123     
   2.3316600178327511        2.3316600178327453        2.3316600178327516     
   2.3316600178327511        2.3316600178327493        2.3316600178327516     
   2.3316600178327511        2.3316600178327498        2.3316600178327520     
